,COMMUNITY AREA NAME,PER CAPITA INCOME,KWH MEAN 2010,TOTAL POPULATION
0,Rogers Park,23714,8252.0,129.0
1,Rogers Park,23714,30417.0,282.0
2,Rogers Park,23714,11812.33,20.0
3,Rogers Park,23714,20669.0,77.0
4,Rogers Park,23714,29135.6,122.0
5,Rogers Park,23714,20565.0,142.0
6,Rogers Park,23714,22971.0,112.0
7,Rogers Park,23714,26005.0,88.0
8,Rogers Park,23714,36488.5,206.0
9,Rogers Park,23714,42036.0,7.0
10,Rogers Park,23714,5638.0,114.0
11,Rogers Park,23714,8312.0,110.0
12,Rogers Park,23714,14254.67,0.0
13,Rogers Park,23714,21484.0,99.0
14,Rogers Park,23714,91886.04,48386.0
15,Rogers Park,23714,8242.0,71.0
16,Rogers Park,23714,13091.4,45.0
17,Rogers Park,23714,7934.5,45.0
18,Rogers Park,23714,52396.2,335.0
19,Rogers Park,23714,16488.93,335.0
20,Rogers Park,23714,8655.6,335.0
21,Rogers Park,23714,9133.13,152.0
22,Rogers Park,23714,12673.86,152.0
23,Rogers Park,23714,8391.0,45.0
24,Rogers Park,23714,11053.0,45.0
25,Rogers Park,23714,30393.41,363.0
26,Rogers Park,23714,14682.5,42.0
27,Rogers Park,23714,12578.83,154.0
28,Rogers Park,23714,17933.25,151.0
29,Rogers Park,23714,20111.71,151.0
30,Rogers Park,23714,15160.75,193.0
31,Rogers Park,23714,25085.78,193.0
32,Rogers Park,23714,27485.75,143.0
33,Rogers Park,23714,77021.5,274.0
34,Rogers Park,23714,40312.5,274.0
35,Rogers Park,23714,26309.25,223.0
36,Rogers Park,23714,15630.0,223.0
37,Rogers Park,23714,51630.9,302.0
38,Rogers Park,23714,13536.0,302.0
39,Rogers Park,23714,9677.25,302.0
40,Rogers Park,23714,25374.0,268.0
41,Rogers Park,23714,55464.0,268.0
42,Rogers Park,23714,18800.67,148.0
43,Rogers Park,23714,22125.0,148.0
44,Rogers Park,23714,22545.0,171.0
45,Rogers Park,23714,16613.5,182.0
46,Rogers Park,23714,37556.33,291.0
47,Rogers Park,23714,11425.0,236.0
48,Rogers Park,23714,13433.17,291.0
