,COMMUNITY AREA NAME,PER CAPITA INCOME,THERM MEAN 2010,TOTAL POPULATION
0,Rogers Park,23714,4656.0,198.0
1,Rogers Park,23714,1045.0,107.0
2,Rogers Park,23714,11770.0,268.0
3,Rogers Park,23714,47.0,20.0
4,Rogers Park,23714,4533.0,77.0
5,Rogers Park,23714,4083.0,112.0
6,Rogers Park,23714,4494.0,7.0
7,Rogers Park,23714,1334.25,114.0
8,Rogers Park,23714,5522.0,110.0
9,Rogers Park,23714,140.33,0.0
10,Rogers Park,23714,5913.0,99.0
11,Rogers Park,23714,48902.0,48386.0
12,Rogers Park,23714,1893.75,71.0
13,Rogers Park,23714,2956.4,45.0
14,Rogers Park,23714,1903.8,45.0
15,Rogers Park,23714,4514.4,335.0
16,Rogers Park,23714,4039.2,335.0
17,Rogers Park,23714,1112.8,335.0
18,Rogers Park,23714,3550.0,152.0
19,Rogers Park,23714,1878.14,152.0
20,Rogers Park,23714,1547.4,45.0
21,Rogers Park,23714,3801.0,45.0
22,Rogers Park,23714,6889.75,363.0
23,Rogers Park,23714,3415.0,42.0
24,Rogers Park,23714,1533.83,154.0
25,Rogers Park,23714,5197.5,151.0
26,Rogers Park,23714,4195.33,151.0
27,Rogers Park,23714,8789.5,193.0
28,Rogers Park,23714,3102.38,193.0
29,Rogers Park,23714,4761.5,143.0
30,Rogers Park,23714,8499.5,274.0
31,Rogers Park,23714,4668.29,274.0
32,Rogers Park,23714,3768.75,223.0
33,Rogers Park,23714,2790.0,223.0
34,Rogers Park,23714,6220.5,302.0
35,Rogers Park,23714,2714.0,302.0
36,Rogers Park,23714,1580.75,302.0
37,Rogers Park,23714,11486.0,268.0
38,Rogers Park,23714,6232.0,268.0
39,Rogers Park,23714,4403.67,148.0
40,Rogers Park,23714,4277.5,148.0
41,Rogers Park,23714,3125.0,171.0
42,Rogers Park,23714,7516.0,182.0
43,Rogers Park,23714,15280.25,291.0
44,Rogers Park,23714,3450.0,236.0
45,Rogers Park,23714,11609.6,291.0
46,Rogers Park,23714,5290.0,174.0
47,Rogers Park,23714,2734.5,174.0
48,Rogers Park,23714,988.6,174.0
49,Rogers Park,23714,3253.5,171.0
50,Rogers Park,23714,3363.78,192.0
51,Rogers Park,23714,3762.0,192.0
52,Rogers Park,23714,2260.0,114.0
53,Rogers Park,23714,4114.0,114.0
54,Rogers Park,23714,3346.67,153.0
55,Rogers Park,23714,4537.43,153.0
56,Rogers Park,23714,1915.25,236.0
57,Rogers Park,23714,3962.75,236.0
58,Rogers Park,23714,4342.0,35.0
59,Rogers Park,23714,742.86,35.0
60,Rogers Park,23714,1025.0,35.0
61,Rogers Park,23714,7093.0,141.0
62,Rogers Park,23714,2935.6,74.0
63,Rogers Park,23714,4986.0,68.0
64,Rogers Park,23714,4278.5,75.0
65,Rogers Park,23714,2424.5,117.0
66,Rogers Park,23714,3379.17,117.0
67,Rogers Park,23714,4889.0,107.0
68,Rogers Park,23714,1929.75,107.0
69,Rogers Park,23714,7566.5,151.0
70,Rogers Park,23714,1575.0,151.0
71,Rogers Park,23714,1891.73,151.0
72,Rogers Park,23714,1374.0,237.0
73,Rogers Park,23714,11837.5,138.0
74,Rogers Park,23714,2903.0,138.0
75,Rogers Park,23714,2667.5,42.0
76,Rogers Park,23714,1322.92,42.0
77,Rogers Park,23714,1163.44,134.0
78,Rogers Park,23714,1895.86,134.0
79,Rogers Park,23714,993.27,134.0
80,Rogers Park,23714,1370.25,62.0
81,Rogers Park,23714,1603.0,40.0
82,Rogers Park,23714,1457.0,40.0
83,Rogers Park,23714,1640.83,66.0
84,Rogers Park,23714,2630.0,82.0
85,Rogers Park,23714,1061.0,66.0
86,Rogers Park,23714,4867.14,133.0
87,Rogers Park,23714,1971.75,133.0
88,Rogers Park,23714,1483.5,133.0
89,Rogers Park,23714,3517.0,74.0
90,Rogers Park,23714,2578.22,111.0
91,Rogers Park,23714,1181.5,86.0
92,Rogers Park,23714,3360.0,45.0
93,Rogers Park,23714,4881.0,76.0
94,Rogers Park,23714,2442.0,76.0
95,Rogers Park,23714,5964.0,88.0
96,Rogers Park,23714,792.33,88.0
97,Rogers Park,23714,335.4,413.0
98,Rogers Park,23714,2256.75,413.0
99,Rogers Park,23714,3883.75,127.0
100,Rogers Park,23714,3390.87,127.0
101,Rogers Park,23714,1994.67,127.0
102,Rogers Park,23714,3696.6,77.0
103,Rogers Park,23714,9207.5,104.0
104,Rogers Park,23714,192.0,104.0
105,Rogers Park,23714,1756.0,26.0
106,Rogers Park,23714,4108.89,79.0
107,Rogers Park,23714,6191.0,378.0
108,Rogers Park,23714,3015.3,378.0
109,Rogers Park,23714,2764.0,378.0
110,Rogers Park,23714,1277.38,234.0
111,Rogers Park,23714,1768.71,50.0
112,Rogers Park,23714,1843.0,50.0
113,Rogers Park,23714,6139.0,116.0
114,Rogers Park,23714,3804.0,116.0
115,Rogers Park,23714,4799.67,35.0
116,Rogers Park,23714,4119.45,175.0
117,Rogers Park,23714,1744.5,175.0
118,Rogers Park,23714,5753.88,82.0
119,Rogers Park,23714,2984.5,71.0
120,Rogers Park,23714,2980.75,71.0
121,Rogers Park,23714,2857.83,80.0
122,Rogers Park,23714,3208.5,105.0
123,Rogers Park,23714,2853.0,105.0
124,Rogers Park,23714,6227.0,210.0
125,Rogers Park,23714,3925.33,135.0
126,Rogers Park,23714,2913.5,135.0
127,Rogers Park,23714,2787.5,26.0
128,Rogers Park,23714,2621.44,26.0
129,Rogers Park,23714,2635.5,246.0
130,Rogers Park,23714,1644.17,246.0
131,Rogers Park,23714,3461.68,155.0
132,Rogers Park,23714,152.0,155.0
133,Rogers Park,23714,1889.0,52.0
134,Rogers Park,23714,3433.5,88.0
135,Rogers Park,23714,2100.43,157.0
136,Rogers Park,23714,1257.93,157.0
137,Rogers Park,23714,2140.9,183.0
138,Rogers Park,23714,597.0,10.0
139,Rogers Park,23714,1707.5,10.0
140,Rogers Park,23714,3102.33,57.0
141,Rogers Park,23714,1751.0,272.0
142,Rogers Park,23714,2484.67,57.0
143,Rogers Park,23714,1395.5,57.0
144,Rogers Park,23714,2741.0,112.0
145,Rogers Park,23714,1255.63,112.0
146,Rogers Park,23714,2654.44,171.0
147,Rogers Park,23714,1859.0,194.0
148,Rogers Park,23714,3842.0,406.0
149,Rogers Park,23714,3693.0,406.0
150,Rogers Park,23714,9475.5,174.0
151,Rogers Park,23714,1548.75,174.0
152,Rogers Park,23714,2168.43,174.0
153,Rogers Park,23714,107.0,127.0
154,Rogers Park,23714,4435.5,127.0
155,Rogers Park,23714,2249.67,132.0
156,Rogers Park,23714,2969.8,132.0
157,Rogers Park,23714,165.0,0.0
158,Rogers Park,23714,1712.1,5.0
159,Rogers Park,23714,5202.67,130.0
160,Rogers Park,23714,2498.0,33.0
161,Rogers Park,23714,1796.33,33.0
162,Rogers Park,23714,7688.0,78.0
163,Rogers Park,23714,1399.67,78.0
164,Rogers Park,23714,2099.2,78.0
165,Rogers Park,23714,2974.5,68.0
166,Rogers Park,23714,1543.33,68.0
167,Rogers Park,23714,1609.56,68.0
