,COMMUNITY AREA NAME,PER CAPITA INCOME
0,Rogers Park,23714
1,West Ridge,21375
2,Uptown,32355
3,Lincoln Square,35503
4,North Center,51615
5,Lake View,58227
6,Lincoln Park,71403
7,Near North Side,87163
8,Edison Park,38337
9,Norwood Park,31659
10,Jefferson Park,27280
11,Forest Glen,41509
12,North Park,24941
13,Albany Park,20355
14,Portage Park,23617
15,Irving Park,26713
16,Dunning,26347
17,Montclaire,21257
18,Belmont Cragin,15246
19,Hermosa,15411
20,Avondale,20489
21,Logan Square,29026
22,Humboldt Park,13391
23,West Town,39596
24,Austin,15920
25,West Garfield Park,10951
26,East Garfield Park,13596
27,Near West Side,41488
28,North Lawndale,12548
29,South Lawndale,10697
30,Lower West Side,15467
31,Loop,67699
32,Near South Side,60593
33,Armour Square,16942
34,Douglas,23098
35,Oakland,19312
36,Fuller Park,9016
37,Grand Boulevard,22056
38,Kenwood,37519
39,Washington Park,13087
40,Hyde Park,39243
41,Woodlawn,18928
42,South Shore,18366
43,Chatham,20320
44,Avalon Park,23495
45,South Chicago,15393
46,Burnside,13756
47,Calumet Heights,28977
48,Roseland,17974
49,Pullman,19007
50,South Deering,15506
51,East Side,15347
52,West Pullman,16228
53,Riverdale,8535
54,Hegewisch,22561
55,Garfield Ridge,24684
56,Archer Heights,16145
57,Brighton Park,13138
58,McKinley Park,17577
59,Bridgeport,24969
60,New City,12524
61,West Elsdon,16938
62,Gage Park,12014
63,Clearing,23920
64,West Lawn,15898
65,Chicago Lawn,14405
66,West Englewood,10559
67,Englewood,11993
68,Greater Grand Crossing,17213
69,Ashburn,22078
70,Auburn Gresham,16022
71,Beverly,40107
72,Washington Heights,19709
73,Mount Greenwood,34221
74,Morgan Park,26185
75,O'Hare,29402
76,Edgewater,33364
